NAME,EXP,POS_HEI_WEI,GRADE,AGE,SKILL,HISCH,HOTOWN,STARCOLL,COLLDIST,NUMOFF,INSTA,TWIT,TIK,NILVAL
Chris Hodges,2021 - present,PF / 6-9 / 245,Redshirt Sophomore,-,88.28,Schaumburg,"Schaumburg, IL",Wisconsin,98 mi.,6,4.1K,1.3K,325,nan
James Okonkwo,2023 - present,PF / 6-9 / 230,Junior,-,87.50,Beckley Prep Academy,"Mount Hope, WV",West Virginia,137 mi.,3,-,11.8K,nan,nan
Alden Applewhite,nan,SF / 6-7 / 210,nan,nan,86.80,Compass Prep,"Chandler, AZ",Mississippi State,1327 mi.,11,3.2K,753,nan,nan
"Mike Mitchell, Jr.",2023 - present,PG / 6-2 / 175,Junior,-,85.96,Archbishop Mitty,"San Jose, CA",Pepperdine,285 mi.,4,5.6K,405,nan,nan
Kalen Etzler,2021 - present,PF / 6-8 / 195,Redshirt Sophomore,-,85.90,Crestview,"Convoy, OH",Ohio State,105 mi.,7,12.8K,2.5K,17.1K,nan
Houston Mallette,nan,CG / 6-5 / 170,nan,-,85.37,Pacifica Christian,"Newport Beach, CA",Pepperdine,62 mi.,16,nan,nan,nan,nan
Oleg Kojenets,nan,C / 6-10 / 215,nan,nan,85.07,Western Reserve Academy,"Hudson, OH",Nebraska,794 mi.,2,nan,nan,nan,nan
Nate Barnhart,nan,C / 6-10 / 195,nan,nan,85.07,De Soto School,"De Soto, KS",Wyoming,597 mi.,5,1.6K,426,nan,nan
R.J. Keene,nan,SF / 6-7 / 190,nan,-,84.40,Concordia Lutheran,"Tomball, TX",Boise State,1470 mi.,19,nan,nan,nan,nan
Jalen Weaver,nan,SF / 6-4 / 185,nan,nan,84.13,Southern California Academy,"Castaic, CA",Nevada,352 mi.,11,nan,nan,nan,nan
Keshon Gilbert,2023 - present,PG / 6-4 / 190,Junior,-,83.87,Durango,"Las Vegas, NV",UNLV,0 mi.,1,13K,1.2K,63K,nan
Nick Davidson,nan,C / 6-8 / 210,nan,-,83.77,Mater Dei,"Santa Ana, CA",Nevada,414 mi.,1,nan,nan,nan,nan
Camaron Tongue,nan,PF / 6-8 / 215,nan,-,83.47,The Rivers School,"Weston, MA",Santa Clara,2669 mi.,1,nan,nan,nan,nan
Jadin Johnson,nan,PG / 6-3 / 170,nan,nan,82.47,Millard North,"Omaha, NE",Old Dominion,1098 mi.,25,nan,nan,nan,nan
